"Experience
(.Months)",Diff,Designation,Joining Status,Employment Type,Distance
13.5,2,3,1,2,1
20.0,1,2,1,2,1
6.0,2,5,1,0,1
4.2,1,1,1,1,1
6.9,287,1,1,1,0
10.6,1,1,1,1,1
4.0,1,1,1,2,1
3.0,1,1,1,2,0
3.6,4,1,1,2,1
4.0,1,1,1,2,1
5.9,35,0,1,2,1
10.0,27,3,1,2,1
7.0,3,5,1,2,1
8.8,61,0,0,2,0
6.0,9,1,1,2,1
7.8,8,5,1,2,0
8.4,28,3,0,2,1
20.0,2,5,1,2,1
7.0,6,1,1,0,1
0.6,0,0,1,2,1
4.0,69,5,0,1,0
5.0,1,4,1,0,0
4.8,3,5,1,1,1
3.4,3,1,0,2,1
11.0,99,0,1,2,1
18.0,31,2,1,2,1
3.3,2,1,0,2,1
4.6,1,1,1,2,0
6.2,73,1,0,2,1
6.1,219,5,1,2,1
20.0,2,5,1,2,0
6.5,34,5,1,2,1
12.6,97,3,0,2,1
13.8,28,3,1,2,0
9.3,1,3,0,2,1
4.2,2,1,1,1,1
12.0,1,5,1,1,0
4.5,1,1,1,1,1
5.0,9,5,1,2,1
8.0,30,5,1,2,1
4.5,55,1,0,2,1
5.4,56,5,1,2,1
15.0,272,4,1,2,1
6.9,56,5,1,2,1
7.0,56,5,0,2,1
6.0,25,5,1,2,0
10.0,55,3,0,2,1
4.0,52,1,0,2,0
11.0,56,3,1,1,1
6.4,54,0,1,0,0
4.4,55,0,1,1,1
7.2,28,0,1,0,1
5.6,35,5,1,2,1
5.0,37,5,0,2,1
4.0,31,1,1,2,1
5.5,59,5,1,2,1
7.7,31,5,1,2,1
7.5,31,0,1,2,1
4.2,42,1,1,2,1
4.0,31,1,1,2,1
6.9,39,5,0,2,1
13.0,31,5,1,2,1
6.0,40,5,0,2,1
8.0,31,5,1,2,1
9.9,90,3,0,2,1
14.4,80,5,1,2,1
7.0,31,0,1,0,1
4.2,243,5,0,1,1
5.0,90,4,1,1,1
4.0,30,1,1,2,1
11.0,31,3,1,1,1
2.9,31,0,1,2,1
2.8,31,1,1,2,0
14.0,1,4,1,2,0
7.6,167,3,0,2,1
6.8,161,5,0,2,1
6.3,0,3,1,2,1
8.5,92,3,1,2,1
9.11,31,3,1,2,1
10.6,92,5,1,2,1
14.0,92,5,1,2,1
8.0,153,3,1,2,1
20.0,185,2,1,2,0
13.0,182,5,1,2,1
20.0,92,2,1,2,1
7.8,122,5,1,1,1
3.4,62,1,1,2,1
6.0,191,5,0,2,0
4.0,31,1,0,2,1
6.7,61,5,1,2,1
12.0,61,3,1,2,1
9.5,61,3,0,2,1
11.0,30,3,1,0,1
4.0,61,1,1,2,1
5.0,254,5,1,2,1
5.6,304,5,1,2,1
10.5,215,3,1,2,1
6.6,32,5,0,2,1
7.0,184,5,1,0,0
3.0,172,1,1,1,1
2.5,233,0,1,2,1
5.3,263,5,1,1,1
3.1,1,1,0,2,1
3.0,1,1,1,2,1
3.3,1,1,0,2,1
3.2,263,1,1,2,1
4.0,263,1,1,2,1
5.0,1,1,1,2,1
3.6,1,1,1,2,1
4.8,263,1,1,2,1
3.3,1,1,1,2,1
7.6,21,3,1,2,1
5.4,48,5,0,2,0
4.8,80,5,1,2,1
5.7,202,5,1,2,1
10.3,18,3,1,2,1
10.0,2,3,1,2,1
11.0,202,3,1,2,1
10.0,2,5,1,2,1
14.5,24,3,1,1,1
7.5,1,5,1,1,0
9.5,1,4,1,0,1
4.0,71,4,1,0,1
4.5,71,4,1,0,1
6.0,25,5,1,2,1
4.7,232,1,1,2,1
12.0,3,3,0,2,1
6.0,2,5,1,2,1
3.3,1,1,1,2,1
3.6,2,1,1,2,1
6.0,1,5,1,2,1
5.0,139,4,1,2,1
1.5,1,1,1,2,0
3.0,1,1,1,2,1
3.3,1,1,1,2,1
3.6,1,1,1,2,1
5.7,1,5,0,2,1
2.9,1,1,1,2,1
11.4,30,3,1,2,1
5.7,1,0,1,2,1
5.4,2,5,0,2,1
9.0,1,0,1,0,0
2.0,195,0,1,2,1
3.4,3,1,1,2,1
6.2,2,1,1,2,1
4.0,165,1,0,2,1
6.0,226,5,0,2,1
7.0,47,5,1,2,1
6.1,134,5,0,2,0
5.4,3,5,1,2,1
7.3,4,3,1,2,1
12.0,226,3,1,2,1
9.7,7,3,0,2,1
6.9,3,5,1,2,1
11.0,3,3,1,2,1
6.3,5,5,1,2,0
3.0,3,1,1,1,1
10.0,3,0,1,0,1
3.6,2,1,1,1,0
5.1,1,5,1,2,0
7.2,1,3,1,2,1
4.0,1,1,1,2,0
4.5,4,1,0,2,1
5.6,9,5,0,2,0
5.8,1,5,1,2,1
6.0,8,5,1,2,1
7.0,7,5,1,2,1
9.0,7,3,0,2,1
12.0,8,3,1,2,1
17.0,57,2,1,2,0
20.0,131,2,1,2,1
4.8,30,5,1,1,1
4.7,0,5,1,2,1
4.0,4,1,1,2,0
5.0,3,5,1,2,1
15.0,9,2,1,2,1
14.0,1,3,0,2,1
7.9,1,5,1,2,1
13.0,9,5,1,2,1
3.3,157,1,1,2,0
4.0,13,1,0,2,1
3.3,2,1,1,2,1
6.0,10,1,1,2,1
6.1,7,5,1,2,1
7.0,5,5,1,2,1
11.0,5,3,1,2,1
9.8,15,3,1,2,1
10.9,37,3,1,2,1
19.0,4,5,1,2,1
0.0,4,6,1,2,1
4.5,2,1,1,1,1
3.1,2,1,1,2,1
7.0,10,3,0,2,1
4.9,1,5,1,2,1
7.3,1,5,1,2,0
5.6,1,0,1,2,1
8.9,1,3,1,2,1
3.9,86,1,1,2,1
3.0,83,1,0,2,1
2.8,78,5,0,2,1
3.8,85,5,1,2,1
7.2,86,5,1,2,0
12.0,27,4,1,2,0
6.9,79,5,1,2,1
13.0,86,3,1,2,0
13.0,86,3,1,2,1
14.0,53,0,0,2,1
15.0,52,5,1,2,1
17.0,86,2,1,0,1
3.9,30,1,1,2,1
4.5,2,5,1,2,0
6.0,47,5,0,2,1
3.9,61,1,1,2,1
4.0,35,1,0,2,1
4.5,89,5,1,2,1
8.0,61,3,1,2,1
10.0,120,3,0,2,1
3.4,30,1,1,2,1
8.0,89,3,1,2,1
5.1,1,1,0,2,1
7.3,30,0,1,2,0
8.0,89,3,1,2,1
13.0,65,5,0,2,1
14.0,32,2,1,2,1
6.7,95,5,1,2,1
5.7,30,5,1,2,1
3.0,30,1,0,2,1
9.0,30,3,1,2,1
4.6,30,1,1,2,1
5.7,61,5,1,2,1
15.0,91,3,1,2,1
10.0,63,3,0,2,0
15.0,30,0,1,2,0
3.3,31,1,0,2,1
3.2,31,1,0,2,1
3.0,31,1,1,2,1
11.0,126,3,0,2,1
4.0,31,1,1,1,1
5.3,32,5,1,2,0
9.3,31,5,0,2,1
5.8,31,5,1,1,1
5.0,91,5,1,2,1
4.4,183,1,1,2,1
2.8,30,1,0,2,1
5.6,252,5,1,2,0
4.5,61,1,0,2,1
5.1,30,5,1,2,1
3.5,30,1,1,2,1
4.5,334,1,1,2,1
2.0,30,1,1,2,1
3.5,30,1,1,2,1
7.0,183,5,1,2,1
8.0,122,5,0,2,1
10.9,124,3,0,2,1
6.8,334,3,0,2,1
7.0,214,0,1,2,1
7.5,265,3,0,2,1
2.0,30,0,1,0,1
12.0,122,3,1,1,0
5.5,61,0,1,0,1
3.9,61,0,1,0,1
2.9,204,1,0,2,1
6.8,235,5,1,2,0
8.0,235,3,1,2,1
8.0,48,5,1,2,1
5.5,1,5,1,2,1
9.0,14,3,1,2,0
4.3,22,1,1,2,1
10.0,234,3,1,2,1
14.8,88,0,0,2,0
16.0,81,5,1,2,0
3.0,234,1,1,2,1
15.0,234,3,1,1,1
5.0,1,0,1,2,1
1.5,101,1,1,2,0
1.6,142,1,1,2,1
5.11,233,0,0,2,1
4.7,101,1,0,2,1
5.1,111,5,1,2,1
3.9,2,5,1,2,1
9.3,232,3,0,2,1
1.7,16,1,1,2,1
2.1,3,1,0,2,1
4.0,1,1,1,2,1
8.0,3,0,1,0,1
1.5,20,1,0,2,0
2.5,107,1,1,2,1
4.7,2,1,1,2,1
3.0,61,1,0,2,1
6.7,2,5,0,2,1
4.5,46,1,0,2,1
4.5,3,5,1,2,1
4.7,28,5,1,2,1
4.4,1,1,0,2,1
3.1,2,1,1,2,1
5.9,105,5,0,2,1
6.0,76,5,0,2,1
7.8,76,3,1,2,1
10.8,46,5,0,2,1
5.9,31,4,1,2,1
9.6,31,3,0,2,1
19.0,3,4,1,2,1
2.8,6,1,0,2,1
6.2,30,5,1,0,1
6.6,30,5,1,0,1
4.0,24,0,0,0,1
0.9,3,1,1,2,1
5.9,24,0,0,0,1
7.0,2,0,1,2,1
4.0,1,5,1,1,1
5.0,3,5,1,2,1
4.5,4,1,1,2,0
10.1,75,3,1,2,1
8.5,167,3,0,2,1
14.0,1,3,1,2,1
3.4,5,1,1,1,0
3.4,1,1,1,1,0
3.5,5,1,1,1,0
4.6,227,1,0,2,1
3.9,3,1,1,2,0
5.0,8,5,1,2,1
15.0,91,0,1,2,1
16.0,1,2,1,2,1
2.5,1,1,1,1,1
13.0,1,4,1,2,1
4.7,8,1,0,2,0
7.0,31,5,1,0,0
10.8,2,5,1,1,1
7.9,1,5,1,1,1
6.4,2,5,0,2,0
6.9,1,5,1,2,1
4.1,2,5,1,2,1
14.0,1,5,1,2,1
5.0,4,5,1,2,0
2.1,2,0,1,2,1
3.7,5,1,1,2,1
5.0,2,5,1,2,1
2.2,12,1,1,2,1
5.1,161,5,0,2,1
2.6,2,1,1,2,0
3.5,2,1,1,2,1
3.9,2,1,0,2,1
10.0,7,0,1,2,1
4.0,33,5,1,2,1
5.1,5,5,0,2,1
7.0,2,5,1,2,1
12.5,3,3,1,2,1
4.5,2,1,1,2,1
8.0,3,5,1,0,0
10.0,2,3,1,2,1
14.0,22,2,1,2,1
9.0,2,0,1,0,1
9.5,3,3,1,1,0
9.0,1,3,1,1,1
3.0,1,1,1,1,1
3.0,4,1,1,2,1
5.11,6,5,0,2,1
3.3,8,1,1,2,1
8.0,7,3,1,2,1
6.7,221,5,0,2,1
2.5,6,1,1,2,1
5.7,5,5,1,2,1
7.2,9,5,1,2,1
8.5,91,4,1,2,1
9.0,90,3,1,2,0
9.7,9,3,1,1,1
2.8,25,1,1,2,1
2.8,188,1,0,2,1
3.2,29,0,1,2,1
5.0,1,5,1,2,0
4.0,36,0,1,2,1
14.0,7,3,1,2,1
8.0,33,3,1,2,1
2.0,17,1,1,2,1
4.0,2,1,1,2,1
3.9,34,1,0,2,1
4.9,2,5,1,2,1
4.5,1,1,1,2,1
7.9,1,5,1,2,1
4.3,16,0,1,2,1
2.0,56,1,1,1,1
6.0,55,4,1,0,1
4.0,56,1,1,2,0
3.3,213,1,0,2,1
9.0,86,0,1,2,1
2.11,50,4,1,2,1
7.0,28,5,1,2,1
4.11,56,1,1,2,1
3.4,56,1,1,2,1
4.7,43,5,1,2,1
3.8,56,1,1,2,1
6.7,56,5,0,2,1
3.2,60,1,0,2,1
6.2,39,5,1,2,1
5.5,56,5,1,2,1
6.11,42,5,0,2,0
4.0,39,1,1,2,1
5.0,51,1,1,2,0
8.8,47,3,0,2,1
8.0,55,3,0,2,1
9.0,28,3,1,2,1
7.0,56,5,1,2,1
5.6,39,5,1,2,1
8.1,54,3,0,2,1
9.11,52,3,1,2,0
1.7,152,1,1,2,0
4.0,8,1,1,2,1
5.2,31,5,1,2,0
4.0,17,1,1,2,1
7.0,18,5,1,2,1
8.0,31,3,1,2,1
13.0,31,3,1,2,1
3.6,31,1,1,1,1
3.3,15,1,1,2,1
4.0,1,5,0,2,1
5.4,61,5,1,2,1
3.0,7,1,1,2,1
5.6,30,5,0,2,1
5.4,60,5,0,2,1
4.2,20,1,0,2,1
12.0,79,4,1,2,1
9.0,120,3,1,2,0
6.0,61,5,1,0,1
5.5,37,5,0,2,0
6.1,61,5,0,2,1
8.5,37,3,0,2,1
7.0,53,3,1,2,1
5.6,103,5,0,2,1
14.0,31,3,1,2,1
1.1,30,1,1,2,1
2.0,74,1,1,2,1
4.7,76,5,1,2,1
5.4,30,5,1,2,1
3.0,30,1,1,1,1
2.0,30,1,1,1,1
2.9,153,1,0,2,1
3.0,170,1,0,2,1
5.0,191,4,1,2,1
3.5,166,1,1,2,1
3.3,164,1,0,2,1
2.8,189,1,0,2,0
2.0,168,1,1,2,1
3.1,92,1,1,2,1
5.9,61,5,0,2,0
7.3,153,5,0,2,1
4.9,61,1,1,2,1
4.6,61,1,0,2,0
5.0,160,5,0,2,1
3.8,30,1,1,2,1
8.3,61,3,0,2,1
6.9,214,5,1,2,1
5.5,158,5,0,2,0
8.8,274,5,0,2,0
7.6,175,3,0,2,0
6.0,196,5,0,2,1
16.0,61,3,1,2,1
9.6,30,3,0,2,1
10.0,92,3,1,2,1
3.1,92,1,1,1,0
3.0,31,0,1,0,1
5.4,92,5,1,2,0
5.4,199,5,0,2,1
6.3,192,5,1,2,1
9.8,245,3,1,2,1
10.3,193,3,0,2,1
3.0,31,1,1,1,1
5.0,30,0,1,0,1
3.9,30,1,1,2,0
5.1,30,5,1,2,1
5.5,153,5,1,2,1
4.7,275,5,1,2,1
7.7,30,5,1,2,0
4.0,61,1,1,2,0
8.0,30,3,1,2,1
4.3,206,1,0,2,1
3.11,53,1,1,2,0
6.0,176,5,1,2,0
15.7,58,5,0,2,1
12.9,142,3,0,2,1
6.0,18,5,1,0,1
11.0,9,3,0,2,1
3.5,20,0,0,2,1
8.0,2,0,1,2,0
2.3,133,1,1,2,1
3.5,4,1,1,2,0
2.11,1,1,0,2,1
2.5,48,1,0,2,0
3.2,52,1,1,2,0
4.6,202,5,1,2,1
6.4,4,5,0,2,1
6.7,4,5,1,2,1
5.4,1,5,1,2,1
6.8,141,5,0,2,1
8.4,42,3,1,2,1
6.9,28,1,0,2,1
6.3,19,5,0,2,0
13.0,34,5,1,2,1
11.6,202,5,0,2,1
3.6,141,1,0,1,0
2.8,133,1,1,2,1
10.0,1,3,0,2,1
5.1,63,5,1,2,1
9.7,1,3,1,2,1
17.5,60,2,1,2,1
3.0,66,1,0,2,1
5.6,4,5,0,2,1
9.7,136,5,1,2,1
4.0,1,1,1,1,1
3.0,136,1,0,2,0
2.0,28,1,0,2,1
9.9,1,3,1,2,1
3.2,4,1,1,2,1
6.5,7,5,1,2,0
4.9,0,1,1,2,1
5.8,73,5,1,2,0
7.1,1,5,1,0,1
6.0,12,0,1,2,1
3.6,194,1,0,2,0
2.7,32,1,0,2,1
4.0,195,1,1,2,0
5.4,12,5,1,2,0
6.0,3,5,0,2,0
5.9,4,5,1,2,1
8.0,31,3,0,2,1
6.4,195,5,0,2,1
5.0,11,1,1,1,0
4.0,3,0,1,0,1
16.0,1,5,1,0,1
10.0,195,0,1,0,1
4.3,1,1,1,2,1
5.2,34,5,0,2,1
7.4,1,5,1,2,0
2.6,30,1,0,2,1
3.8,21,1,1,2,1
7.0,1,1,1,0,1
2.11,6,1,0,2,1
7.0,1,5,1,2,1
7.0,62,3,1,2,1
13.0,1,5,1,2,0
5.1,1,0,1,2,1
8.0,1,5,1,1,1
6.2,1,5,1,2,1
6.7,1,5,1,2,1
5.1,8,5,0,2,1
7.5,34,5,0,2,1
15.0,8,5,1,2,1
14.1,64,2,0,2,1
15.8,64,5,0,2,1
7.5,1,5,1,1,1
4.6,37,1,1,2,1
2.0,4,1,1,2,1
2.5,4,1,1,2,1
2.5,146,1,0,2,1
14.0,5,3,1,2,1
5.0,10,5,1,2,0
9.0,5,5,1,2,1
4.0,3,1,1,2,1
8.0,5,3,1,2,1
6.11,1,5,0,2,1
6.7,13,5,1,2,1
8.0,105,5,1,2,1
5.4,77,5,0,2,1
5.11,188,5,1,2,1
8.8,3,3,1,2,1
7.0,1,5,1,2,0
4.6,66,1,0,2,1
5.5,14,5,1,2,1
6.0,12,5,0,2,1
10.2,158,0,0,2,0
7.0,2,5,1,2,1
8.0,2,5,0,2,1
6.0,35,0,0,1,1
5.5,1,5,1,1,1
14.0,15,4,1,2,0
4.2,135,1,0,2,0
5.0,144,5,0,2,1
7.0,131,4,0,2,0
3.1,111,5,1,2,1
10.0,97,5,1,2,1
5.11,141,5,0,2,1
5.4,138,5,0,2,1
4.7,145,1,1,2,1
5.8,141,5,0,2,1
4.4,0,1,1,1,0
10.0,142,4,1,2,1
4.11,31,5,1,2,0
6.0,110,5,1,2,1
7.8,77,5,0,2,1
7.9,31,5,0,2,1
8.3,31,5,0,2,1
13.0,31,0,1,0,1
3.5,68,1,0,2,1
4.1,82,1,0,2,1
6.0,213,5,0,2,0
6.0,74,5,0,2,1
11.0,80,3,0,2,1
2.8,31,1,1,2,1
2.2,59,1,0,2,1
3.5,122,1,0,2,1
2.8,32,1,1,2,1
4.3,152,1,0,2,1
3.8,61,1,1,2,1
5.7,77,5,0,2,1
5.5,30,5,0,2,0
5.0,91,1,1,2,0
12.0,49,5,1,2,1
4.1,91,5,1,2,0
10.3,30,3,1,2,1
8.0,30,3,1,2,1
5.0,0,1,1,1,1
2.9,30,1,1,1,0
4.3,36,1,1,0,0
15.0,31,0,1,0,1
5.6,29,5,0,2,1
13.0,122,5,1,2,1
13.0,106,3,1,2,1
9.0,62,0,1,2,0
15.0,61,2,1,0,1
4.0,31,1,1,1,1
4.1,31,1,1,2,0
6.0,31,5,1,2,1
10.0,153,5,1,2,1
1.3,62,0,1,0,1
20.0,64,2,1,2,1
8.0,124,5,1,2,1
6.8,30,1,1,1,0
3.3,193,1,0,2,1
4.7,31,1,1,2,1
10.0,31,5,1,2,1
3.1,32,1,0,2,1
8.0,32,5,1,2,0
7.0,166,5,0,2,0
15.0,304,4,1,0,1
3.5,1,1,0,2,1
1.7,1,1,0,2,0
4.0,1,1,1,2,1
6.0,175,5,0,2,0
3.0,130,1,0,2,1
4.0,53,5,0,2,1
6.6,53,1,1,2,1
6.3,145,5,1,2,1
5.9,100,5,0,2,1
6.5,175,5,1,2,1
4.9,22,1,1,2,1
5.9,1,5,1,2,0
8.1,175,5,0,2,1
8.0,175,5,1,2,0
5.0,84,5,1,2,0
8.7,0,3,0,2,1
8.2,175,3,1,2,0
10.7,159,5,0,2,1
10.0,100,5,1,0,1
10.4,114,3,1,2,0
4.0,145,5,1,1,1
6.0,145,0,0,0,1
4.0,1,1,1,1,0
15.0,100,0,0,0,1
5.0,175,1,1,1,1
3.0,1,1,1,1,0
3.0,1,1,1,1,0
6.7,1,5,1,1,1
3.0,174,1,0,2,0
4.3,174,1,1,2,1
4.2,1,5,1,2,0
6.8,27,5,1,2,1
7.5,174,3,0,2,1
3.3,20,1,0,2,1
5.2,143,1,1,2,1
4.0,1,5,1,2,1
6.0,3,5,1,2,1
10.0,1,3,1,2,1
4.9,1,5,0,2,1
4.6,1,1,1,1,0
7.0,1,5,1,1,0
6.5,19,5,1,2,1
3.2,1,1,1,2,0
9.8,111,3,0,2,1
11.0,1,3,1,0,0
3.3,3,1,1,2,1
2.0,1,1,1,2,0
4.8,49,5,0,2,1
9.5,1,0,1,2,0
9.0,1,1,1,1,1
8.0,21,0,0,2,1
6.0,3,5,1,1,0
12.0,3,3,1,1,0
4.6,2,5,0,2,1
2.3,166,1,0,2,1
3.5,2,1,1,2,0
3.5,15,1,1,2,0
6.0,15,1,0,2,0
6.3,46,5,0,2,1
5.6,3,5,1,2,0
6.0,3,5,1,2,0
2.9,7,1,0,2,1
8.6,2,2,1,2,0
7.2,16,3,0,2,1
15.0,166,5,1,2,0
4.0,77,1,0,2,1
5.0,3,1,1,1,1
3.5,7,1,1,2,0
6.0,2,5,1,2,0
16.0,24,4,1,2,0
15.0,60,2,1,2,0
3.9,1,5,1,1,1
6.0,1,1,0,1,0
3.1,1,1,1,2,0
19.0,136,4,1,2,1
5.5,1,5,1,2,0
4.5,1,1,1,1,0
6.0,6,5,1,1,0
8.0,1,4,1,2,0
9.0,10,3,1,2,0
5.8,6,5,0,2,0
11.0,12,4,1,2,0
4.6,1,5,1,2,0
7.1,1,5,1,2,0
8.0,3,5,0,2,0
10.0,27,5,1,2,0
17.0,91,5,0,2,1
9.0,0,6,1,1,1
14.0,0,6,1,1,1
3.3,0,1,1,1,1
6.5,7,5,1,1,0
3.5,1,1,1,2,1
6.4,1,5,0,2,0
3.7,6,1,1,1,0
1.0,5,1,1,2,0
3.2,6,5,0,2,1
3.8,131,5,0,2,1
0.0,2,6,1,2,0
4.1,3,1,1,2,0
6.7,33,5,0,2,1
4.7,6,1,1,2,0
5.9,68,5,1,2,0
5.1,4,5,1,2,0
5.6,4,5,1,2,0
9.7,2,3,1,2,0
10.2,3,3,0,2,1
3.5,4,1,1,2,0
5.6,7,5,1,2,1
6.2,7,5,0,2,0
4.2,2,1,1,2,0
5.0,14,0,1,2,0
5.7,4,1,1,1,1
7.6,4,1,0,1,1
4.0,1,0,1,0,1
0.0,1,6,0,2,1
6.0,0,5,1,1,1
13.0,0,3,1,1,1
12.0,0,6,1,1,1
13.0,10,4,1,1,0
2.8,5,1,0,2,0
5.0,69,1,0,2,1
4.5,85,5,0,2,1
13.0,1,4,0,2,0
4.6,1,0,1,2,1
11.0,0,0,1,2,0
4.4,5,1,1,2,0
3.2,1,1,1,2,1
10.3,2,3,0,2,0
5.0,5,5,0,2,0
10.3,1,3,0,2,0
4.8,68,5,0,1,0
7.0,1,1,1,1,0
2.0,174,0,1,2,0
2.0,172,1,1,1,1
2.5,159,0,1,2,0
3.3,174,1,1,2,0
4.0,174,1,1,2,0
4.0,141,1,1,2,0
4.11,166,1,0,2,0
5.5,160,5,0,2,0
8.0,127,5,1,2,0
5.5,174,5,0,2,0
9.8,173,3,0,2,0
7.3,173,5,0,2,1
7.0,169,5,0,2,1
8.0,173,5,1,2,0
17.0,239,2,2,2,1
12.0,127,4,0,2,0
6.0,160,0,1,2,0
5.3,138,5,0,1,1
15.0,31,2,1,0,0
3.5,0,1,1,2,0
4.6,149,5,0,2,1
8.0,95,4,0,2,0
5.2,143,5,0,2,0
5.0,1,1,0,2,0
3.4,53,1,1,2,1
3.3,89,1,1,2,1
8.0,30,0,1,2,0
2.1,59,1,0,2,0
4.8,89,1,0,2,1
3.0,53,1,0,2,0
4.5,120,1,0,2,0
6.0,54,5,1,2,0
9.3,30,3,1,2,0
5.5,30,5,0,2,1
11.0,89,0,1,2,0
8.0,61,3,1,2,0
8.0,30,3,1,2,1
7.1,54,5,0,2,0
5.11,213,5,0,2,1
8.0,120,5,1,1,0
5.6,89,1,1,1,1
7.0,120,5,1,0,1
6.0,61,5,1,0,1
5.0,23,5,1,2,0
6.0,23,5,0,2,1
7.0,29,5,1,2,0
20.0,32,2,0,2,1
3.4,120,1,1,1,1
2.0,30,1,1,2,0
5.8,30,5,1,2,0
4.2,150,1,0,2,0
6.8,18,0,1,2,0
4.0,181,0,0,2,0
6.0,42,0,1,2,0
3.9,45,4,0,0,0
3.6,47,1,0,2,0
5.0,1,1,0,2,1
5.4,30,1,0,2,1
8.6,50,3,0,2,0
8.5,212,3,0,2,0
11.0,1,3,0,2,1
8.0,31,5,1,1,1
3.9,31,1,1,2,0
2.5,31,1,1,2,0
4.2,31,1,1,2,0
6.6,76,5,0,2,0
9.0,31,5,1,2,0
18.0,62,0,1,0,0
4.6,31,1,1,1,0
5.8,33,5,0,2,1
23.0,62,5,2,0,1
3.6,165,1,1,1,0
3.0,183,1,1,1,0
6.4,276,5,1,2,1
4.5,183,1,1,2,0
2.9,334,1,0,2,0
3.5,91,1,1,2,1
2.0,30,1,0,2,0
7.0,122,5,1,2,0
2.1,153,1,1,2,0
8.0,91,3,1,2,0
